<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MGNT,D,040321,000000,4965.5000000,315202
MGNT,D,050321,000000,5010.0000000,569971
MGNT,D,090321,000000,4980.5000000,515133
MGNT,D,100321,000000,5070.0000000,366323
MGNT,D,110321,000000,5096.5000000,254304
MGNT,D,120321,000000,5135.5000000,293522
MGNT,D,150321,000000,5217.5000000,394556
MGNT,D,160321,000000,5170.5000000,306942
MGNT,D,170321,000000,5274.5000000,583209
MGNT,D,180321,000000,5362.0000000,915441
MGNT,D,190321,000000,5428.5000000,828789
MGNT,D,220321,000000,5409.0000000,396221
MGNT,D,230321,000000,5300.5000000,446257
MGNT,D,240321,000000,5354.5000000,351371
MGNT,D,250321,000000,5294.5000000,254876
MGNT,D,260321,000000,5348.0000000,223178
MGNT,D,290321,000000,5300.0000000,374734
MGNT,D,300321,000000,5281.0000000,129101
MGNT,D,310321,000000,5344.5000000,281065
MGNT,D,010421,000000,5293.5000000,262969
MGNT,D,020421,000000,5301.5000000,89435
MGNT,D,050421,000000,5254.5000000,214581
MGNT,D,060421,000000,5110.5000000,441607
MGNT,D,070421,000000,5080.0000000,523524
MGNT,D,080421,000000,5099.0000000,333972
MGNT,D,090421,000000,5135.0000000,335742
MGNT,D,120421,000000,5180.0000000,210750
MGNT,D,130421,000000,5134.5000000,402712
MGNT,D,140421,000000,5095.0000000,319263
MGNT,D,150421,000000,5111.5000000,287983
MGNT,D,160421,000000,5111.5000000,242272
MGNT,D,190421,000000,5095.5000000,170630
MGNT,D,200421,000000,5086.0000000,274908
MGNT,D,210421,000000,5140.0000000,298355
MGNT,D,220421,000000,5153.5000000,512716
MGNT,D,230421,000000,5258.0000000,656956
MGNT,D,260421,000000,5277.0000000,368435
MGNT,D,270421,000000,5255.0000000,315832
MGNT,D,280421,000000,5226.0000000,218274
MGNT,D,290421,000000,5113.5000000,366747
MGNT,D,300421,000000,5119.0000000,293771
MGNT,D,040521,000000,5195.0000000,301887
MGNT,D,050521,000000,5211.0000000,401030
MGNT,D,060521,000000,5170.0000000,293274
MGNT,D,070521,000000,5129.5000000,272200
MGNT,D,100521,000000,5091.5000000,352679
MGNT,D,110521,000000,5156.0000000,350973
MGNT,D,120521,000000,5099.5000000,479750
MGNT,D,130521,000000,5122.0000000,319780
MGNT,D,140521,000000,5155.5000000,279172
MGNT,D,170521,000000,5149.5000000,232862
MGNT,D,180521,000000,5256.0000000,2440178
